amfi_code,scheme_name,fund_house,category,expense_ratio_pct,cagr_3y,sharpe_ratio,alpha,beta,max_drawdown,cagr_score,sharpe_score,alpha_score,expense_score,drawdown_score,fund_score,rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,1.46,0.33991970400445304,1.4625040290030797,0.2698375144191807,0.023683558075848623,-0.11265729075028275,97.43589743589743,100.0,84.61538461538461,43.58974358974359,82.05128205128204,85.89743589743588,1
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,1.36,0.3176924285223732,1.190558596306751,0.2926358334175106,0.000549004250631712,-0.18188513572116294,89.74358974358975,89.74358974358975,94.87179487179486,64.1025641025641,38.46153846153847,81.7948717948718,2
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.45,0.2957511058901836,1.3194419817117224,0.27330465038306057,-0.02282956979242654,-0.1297396816518679,84.61538461538461,97.43589743589743,89.74358974358975,46.15384615384615,69.23076923076923,81.53846153846153,3
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,1.38,0.3243397122906222,1.1043517629506803,0.2719535450128533,0.0051035258305283104,-0.16217208574644848,92.3076923076923,84.61538461538461,87.17948717948718,56.41025641025641,51.28205128205128,79.87179487179486,4
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,0.8,0.32478927222623,1.0405688566490552,0.2119482701352573,0.016232169761417007,-0.12588275606922517,94.87179487179486,76.92307692307693,69.23076923076923,71.7948717948718,71.7948717948718,79.48717948717949,5
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,1.38,0.35102527889035406,1.008625789131447,0.2607666908004223,-0.06626542862803757,-0.20960883862039192,100.0,74.35897435897436,79.48717948717949,56.41025641025641,30.76923076923077,76.02564102564104,6
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,1.54,0.3044861306002782,1.2229472146851277,0.23201007160635082,-0.03175144113890972,-0.1501238549864533,87.17948717948718,92.3076923076923,76.92307692307693,23.076923076923077,58.97435897435898,73.97435897435898,7
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,1.6,0.2917135767741186,1.2463441409620544,0.2827036785246582,0.018133884083859245,-0.1639674294693263,82.05128205128204,94.87179487179486,92.3076923076923,7.6923076923076925,48.717948717948715,72.82051282051283,8
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,1.6,0.28960211096593724,1.0410608155745142,0.21399784776051212,0.02108631625012803,-0.11291596329323073,79.48717948717949,79.48717948717949,71.7948717948718,7.6923076923076925,79.48717948717949,67.17948717948718,9
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,1.43,0.2666309129954312,0.9533324621776287,0.3033696538698332,-0.023196062044059693,-0.2870600572176455,71.7948717948718,66.66666666666666,100.0,48.717948717948715,10.256410256410255,66.53846153846153,10
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,1.61,0.26863103668817145,1.1434895599140866,0.26598577542043045,-0.002523004664699247,-0.17248105753451382,74.35897435897436,87.17948717948718,82.05128205128204,5.128205128205128,46.15384615384615,65.8974358974359,11
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,1.52,0.2699350260734621,0.9579170598994393,0.3005787817097677,0.011455159960520708,-0.31171900300634214,76.92307692307693,69.23076923076923,97.43589743589743,33.33333333333333,7.6923076923076925,65.64102564102565,12
